comparison;codec;preset;sequence;crf;real bitrate;subjective
2018;sz265;mv_ripping;mountain_bike_sh;4000;0;3.2556754023871783
2018;t265;mv_ripping;mountain_bike_sh;1000;0;2.782053851195042
2018;t265;mv_ripping;mountain_bike_sh;2000;0;3.221365364346591
2018;t265;mv_ripping;mountain_bike_sh;4000;0;3.748064035522474
2018;uc265;mv_ripping;mountain_bike_sh;1000;0;1.4840820544844109
2018;uc265;mv_ripping;mountain_bike_sh;2000;0;3.0620764156862066
2018;uc265;mv_ripping;mountain_bike_sh;4000;0;3.5764199395259366
2018;vp9;mv_ripping;mountain_bike_sh;1000;0;2.4016891310126836
2018;vp9;mv_ripping;mountain_bike_sh;2000;0;3.123502241188736
2018;vp9;mv_ripping;mountain_bike_sh;4000;0;3.578876009535287
2018;x264;mv_ripping;mountain_bike_sh;1000;0;0.15447759127001381
2018;x264;mv_ripping;mountain_bike_sh;2000;0;2.4959729018127543
2018;x264;mv_ripping;mountain_bike_sh;4000;0;3.4839437143104948
2018;x265;mv_ripping;mountain_bike_sh;1000;0;2.3563111319529995
2018;x265;mv_ripping;mountain_bike_sh;2000;0;2.9944122426982154
2018;x265;mv_ripping;mountain_bike_sh;4000;0;3.484784327084112
2018;intel_svt_hevc;mv_universal;mountain_bike_sh;1000;0;1.476400472612688
2018;intel_svt_hevc;mv_universal;mountain_bike_sh;2000;0;2.7208856831960753
2018;intel_svt_hevc;mv_universal;mountain_bike_sh;4000;0;3.3539556436355324
2018;vitec_v3;mv_fast;mountain_bike_sh;1000;0;1.927783253679288
2018;vitec_v3;mv_fast;mountain_bike_sh;2000;0;3.280115922862558
2018;vitec_v3;mv_fast;mountain_bike_sh;4000;0;3.6605523973502274
2018;divx;mv_ripping;playground_sh;1000;0;3.323799617378005
2018;divx;mv_ripping;playground_sh;2000;0;4.983915481745688
2018;divx;mv_ripping;playground_sh;4000;0;5.959229531359718
2018;huawei1;mv_ripping;playground_sh;1000;0;0
2018;huawei1;mv_ripping;playground_sh;2000;0;0
2018;huawei1;mv_ripping;playground_sh;4000;0;0
2018;intel_mfx_sw;mv_ripping;playground_sh;1000;0;2.039054216070975
2018;intel_mfx_sw;mv_ripping;playground_sh;2000;0;3.7023085482545977
2018;intel_mfx_sw;mv_ripping;playground_sh;4000;0;5.362464461783348
2018;intel_svt_hevc;mv_ripping;playground_sh;1000;0;2.794723635141788
2018;intel_svt_hevc;mv_ripping;playground_sh;2000;0;4.141960631905046
2018;intel_svt_hevc;mv_ripping;playground_sh;4000;0;5.624082742728188
2018;ks265;mv_ripping;playground_sh;1000;0;2.5616732591882885
2018;ks265;mv_ripping;playground_sh;2000;0;4.395882471151687
2018;ks265;mv_ripping;playground_sh;4000;0;6.030089656506966
2018;sif;mv_ripping;playground_sh;1000;0;1.5404151637584653
2018;sif;mv_ripping;playground_sh;2000;0;2.602794101852782
2018;sif;mv_ripping;playground_sh;4000;0;4.403183999548706
2018;sz264;mv_ripping;playground_sh;1000;0;0.9133895120065274
2018;sz264;mv_ripping;playground_sh;2000;0;3.500744624979917
2018;sz264;mv_ripping;playground_sh;4000;0;6.072082502729211
2018;sz265;mv_ripping;playground_sh;1000;0;1.7786555814721667
2018;sz265;mv_ripping;playground_sh;2000;0;3.5305503565560192
2018;sz265;mv_ripping;playground_sh;4000;0;4.912721341533411
2018;t265;mv_ripping;playground_sh;1000;0;4.035827997167873
2018;t265;mv_ripping;playground_sh;2000;0;5.421985003047928
2018;t265;mv_ripping;playground_sh;4000;0;6.21901171676371
2018;uc265;mv_ripping;playground_sh;1000;0;0
2018;uc265;mv_ripping;playground_sh;2000;0;0.8128438200943
2018;uc265;mv_ripping;playground_sh;4000;0;1.8183445319416633
2018;vp9;mv_ripping;playground_sh;1000;0;2.9947634070574107
2018;vp9;mv_ripping;playground_sh;2000;0;4.278746122251891
2018;vp9;mv_ripping;playground_sh;4000;0;5.5357321720536365
2018;x264;mv_ripping;playground_sh;1000;0;0.6298926913593168
2018;x264;mv_ripping;playground_sh;2000;0;4.32345256620003
2018;x264;mv_ripping;playground_sh;4000;0;5.979227622378827
2018;x265;mv_ripping;playground_sh;1000;0;1.5257417433398555
2018;x265;mv_ripping;playground_sh;2000;0;4.718482423635089
2018;x265;mv_ripping;playground_sh;4000;0;6.005508655038627
2018;intel_svt_hevc;mv_universal;playground_sh;1000;0;2.701750582060524
2018;intel_svt_hevc;mv_universal;playground_sh;2000;0;4.066747629383096
2018;intel_svt_hevc;mv_universal;playground_sh;4000;0;5.165782667934203
2018;vitec_v3;mv_fast;playground_sh;1000;0;3.5273873219721525
2018;vitec_v3;mv_fast;playground_sh;2000;0;4.915493721811583
2018;vitec_v3;mv_fast;playground_sh;4000;0;6.230979670869217
2018;divx;mv_ripping;red_kayak_sh;1000;0;2.1193604596977207
2018;divx;mv_ripping;red_kayak_sh;2000;0;4.135675195962802
2018;divx;mv_ripping;red_kayak_sh;4000;0;5.011739344120301
2018;huawei1;mv_ripping;red_kayak_sh;1000;0;0
2018;huawei1;mv_ripping;red_kayak_sh;2000;0;0
2018;huawei1;mv_ripping;red_kayak_sh;4000;0;0
2018;huawei2;mv_ripping;red_kayak_sh;1000;0;2.7090843210508853
2018;huawei2;mv_ripping;red_kayak_sh;2000;0;4.483131070033222
2018;huawei2;mv_ripping;red_kayak_sh;4000;0;5.318968437988263
2018;intel_mfx_sw;mv_ripping;red_kayak_sh;2000;0;3.679409647793813
2018;intel_mfx_sw;mv_ripping;red_kayak_sh;4000;0;4.977189213704843
2018;intel_svt_hevc;mv_ripping;red_kayak_sh;1000;0;2.2121037767877922
2018;intel_svt_hevc;mv_ripping;red_kayak_sh;2000;0;3.231077484976708
2018;intel_svt_hevc;mv_ripping;red_kayak_sh;4000;0;4.417478827314609
2018;ks265;mv_ripping;red_kayak_sh;1000;0;1.823986122326541
2018;ks265;mv_ripping;red_kayak_sh;2000;0;3.124242598653843
2018;ks265;mv_ripping;red_kayak_sh;4000;0;4.339485844510124
2018;sif;mv_ripping;red_kayak_sh;1000;0;0.3622580018047479
2018;sif;mv_ripping;red_kayak_sh;2000;0;0.9059263602410619
2018;sif;mv_ripping;red_kayak_sh;4000;0;3.146024872639103
2018;sz264;mv_ripping;red_kayak_sh;1000;0;0.023934105638016012
2018;sz264;mv_ripping;red_kayak_sh;2000;0;1.9704317484510454
2018;sz264;mv_ripping;red_kayak_sh;4000;0;4.161833705185627
2018;sz265;mv_ripping;red_kayak_sh;1000;0;1.325595375862122
2018;sz265;mv_ripping;red_kayak_sh;2000;0;2.612522069521644
2018;sz265;mv_ripping;red_kayak_sh;4000;0;4.591872524093295
2018;t265;mv_ripping;red_kayak_sh;1000;0;3.022040996645946
2018;t265;mv_ripping;red_kayak_sh;2000;0;4.681172934282613
2018;t265;mv_ripping;red_kayak_sh;4000;0;5.045590283599242
2018;uc265;mv_ripping;red_kayak_sh;1000;0;0.2699139266681372
2018;uc265;mv_ripping;red_kayak_sh;2000;0;1.0588256179893518
2018;uc265;mv_ripping;red_kayak_sh;4000;0;3.109152556548726
2018;vp9;mv_ripping;red_kayak_sh;1000;0;2.0501148149699766
2018;vp9;mv_ripping;red_kayak_sh;2000;0;3.7847352277692625
2018;vp9;mv_ripping;red_kayak_sh;4000;0;5.244097795477193
2018;x264;mv_ripping;red_kayak_sh;1000;0;0
2018;x264;mv_ripping;red_kayak_sh;2000;0;1.3777720509903164
