Reference,Distorted,Metric,Metric_val,Mask,Subjective
ElFuente2_30fps.yuv,ElFuente2_50_720_3050.yuv,ssim,0.8389,True,50
ElFuente2_30fps.yuv,ElFuente2_60_1080_4300.yuv,ssim,0.843,True,60
ElFuente2_30fps.yuv,ElFuente2_65_720_4250.yuv,ssim,0.8602,True,65
ElFuente2_30fps.yuv,ElFuente2_70_1080_5800.yuv,ssim,0.8646,True,70
ElFuente2_30fps.yuv,ElFuente2_80_1080_10000.yuv,ssim,0.9046,True,80
ElFuente2_30fps.yuv,ElFuente2_85_1080_15000.yuv,ssim,0.9327,True,85
ElFuente2_30fps.yuv,ElFuente2_90_1080_20000.yuv,ssim,0.9498,True,90
ElFuente2_30fps.yuv,ElFuente2_05_288_375.yuv,psnr,36.403,True,05
ElFuente2_30fps.yuv,ElFuente2_30_480_1750.yuv,psnr,38.583,True,30
ElFuente2_30fps.yuv,ElFuente2_50_720_3050.yuv,psnr,39.452,True,50
ElFuente2_30fps.yuv,ElFuente2_60_1080_4300.yuv,psnr,39.494,True,60
ElFuente2_30fps.yuv,ElFuente2_65_720_4250.yuv,psnr,40.201,True,65
ElFuente2_30fps.yuv,ElFuente2_70_1080_5800.yuv,psnr,40.246,True,70
ElFuente2_30fps.yuv,ElFuente2_80_1080_10000.yuv,psnr,41.758,True,80
ElFuente2_30fps.yuv,ElFuente2_85_1080_15000.yuv,psnr,43.027,True,85
ElFuente2_30fps.yuv,ElFuente2_90_1080_20000.yuv,psnr,43.982,True,90
ElFuente2_30fps.yuv,ElFuente2_05_288_375.yuv,vmaf,17.859,True,05
ElFuente2_30fps.yuv,ElFuente2_30_480_1750.yuv,vmaf,39.806,True,30
ElFuente2_30fps.yuv,ElFuente2_50_720_3050.yuv,vmaf,50.145,True,50
ElFuente2_30fps.yuv,ElFuente2_60_1080_4300.yuv,vmaf,55.331,True,60
ElFuente2_30fps.yuv,ElFuente2_65_720_4250.yuv,vmaf,57.217,True,65
ElFuente2_30fps.yuv,ElFuente2_70_1080_5800.yuv,vmaf,62.704,True,70
ElFuente2_30fps.yuv,ElFuente2_80_1080_10000.yuv,vmaf,76.741,True,80
ElFuente2_30fps.yuv,ElFuente2_85_1080_15000.yuv,vmaf,86.788,True,85
ElFuente2_30fps.yuv,ElFuente2_90_1080_20000.yuv,vmaf,92.46,True,90
FoxBird_25fps.yuv,FoxBird_20_288_375.yuv,ssim,0.8558,True,20
FoxBird_25fps.yuv,FoxBird_40_384_750.yuv,ssim,0.9056,True,40
FoxBird_25fps.yuv,FoxBird_55_480_750.yuv,ssim,0.919,True,55
FoxBird_25fps.yuv,FoxBird_65_480_1750.yuv,ssim,0.9496,True,65
FoxBird_25fps.yuv,FoxBird_80_1080_2300.yuv,ssim,0.9705,True,80
FoxBird_25fps.yuv,FoxBird_95_1080_5800.yuv,ssim,0.9901,True,95
FoxBird_25fps.yuv,FoxBird_20_288_375.yuv,psnr,32.761,True,20
FoxBird_25fps.yuv,FoxBird_40_384_750.yuv,psnr,35.005,True,40
FoxBird_25fps.yuv,FoxBird_55_480_750.yuv,psnr,36.358,True,55
FoxBird_25fps.yuv,FoxBird_65_480_1750.yuv,psnr,37.983,True,65
FoxBird_25fps.yuv,FoxBird_80_1080_2300.yuv,psnr,42.108,True,80
FoxBird_25fps.yuv,FoxBird_95_1080_5800.yuv,psnr,47.293,True,95
FoxBird_25fps.yuv,FoxBird_20_288_375.yuv,vmaf,22.305,True,20
FoxBird_25fps.yuv,FoxBird_40_384_750.yuv,vmaf,46.524,True,40
FoxBird_25fps.yuv,FoxBird_55_480_750.yuv,vmaf,57.411,True,55
FoxBird_25fps.yuv,FoxBird_65_480_1750.yuv,vmaf,70.998,True,65
FoxBird_25fps.yuv,FoxBird_80_1080_2300.yuv,vmaf,93.856,True,80
FoxBird_25fps.yuv,FoxBird_95_1080_5800.yuv,vmaf,98.199,True,95
OldTownCross_25fps.yuv,OldTownCross_20_288_375.yuv,ssim,0.6469,True,20
OldTownCross_25fps.yuv,OldTownCross_45_384_750.yuv,ssim,0.7274,True,45
