Reference,Distorted,Metric,Metric_val,Mask,Subjective
ElFuente1_30fps.yuv,ElFuente1_60_720_2350.yuv,vmaf,73.016,False,60
ElFuente1_30fps.yuv,ElFuente1_70_1080_4300.yuv,vmaf,89.126,False,70
ElFuente1_30fps.yuv,ElFuente1_85_1080_5800.yuv,vmaf,95.673,False,85
ElFuente1_30fps.yuv,ElFuente1_90_1080_7500.yuv,vmaf,98.785,False,90
ElFuente2_30fps.yuv,ElFuente2_05_288_375.yuv,ssim,0.739,False,05
ElFuente2_30fps.yuv,ElFuente2_30_480_1750.yuv,ssim,0.8056,False,30
ElFuente2_30fps.yuv,ElFuente2_50_720_3050.yuv,ssim,0.8327,False,50
ElFuente2_30fps.yuv,ElFuente2_60_1080_4300.yuv,ssim,0.8374,False,60
ElFuente2_30fps.yuv,ElFuente2_65_720_4250.yuv,ssim,0.8552,False,65
ElFuente2_30fps.yuv,ElFuente2_70_1080_5800.yuv,ssim,0.8602,False,70
ElFuente2_30fps.yuv,ElFuente2_80_1080_10000.yuv,ssim,0.9019,False,80
ElFuente2_30fps.yuv,ElFuente2_85_1080_15000.yuv,ssim,0.9314,False,85
ElFuente2_30fps.yuv,ElFuente2_90_1080_20000.yuv,ssim,0.949,False,90
ElFuente2_30fps.yuv,ElFuente2_05_288_375.yuv,psnr,28.555,False,05
ElFuente2_30fps.yuv,ElFuente2_30_480_1750.yuv,psnr,31.127,False,30
ElFuente2_30fps.yuv,ElFuente2_50_720_3050.yuv,psnr,32.172,False,50
ElFuente2_30fps.yuv,ElFuente2_60_1080_4300.yuv,psnr,32.301,False,60
ElFuente2_30fps.yuv,ElFuente2_65_720_4250.yuv,psnr,33.166,False,65
ElFuente2_30fps.yuv,ElFuente2_70_1080_5800.yuv,psnr,33.278,False,70
ElFuente2_30fps.yuv,ElFuente2_80_1080_10000.yuv,psnr,35.329,False,80
ElFuente2_30fps.yuv,ElFuente2_85_1080_15000.yuv,psnr,37.169,False,85
ElFuente2_30fps.yuv,ElFuente2_90_1080_20000.yuv,psnr,38.621,False,90
ElFuente2_30fps.yuv,ElFuente2_05_288_375.yuv,vmaf,16.549,False,05
ElFuente2_30fps.yuv,ElFuente2_30_480_1750.yuv,vmaf,37.448,False,30
ElFuente2_30fps.yuv,ElFuente2_50_720_3050.yuv,vmaf,47.562,False,50
ElFuente2_30fps.yuv,ElFuente2_60_1080_4300.yuv,vmaf,52.72,False,60
ElFuente2_30fps.yuv,ElFuente2_65_720_4250.yuv,vmaf,54.777,False,65
ElFuente2_30fps.yuv,ElFuente2_70_1080_5800.yuv,vmaf,60.336,False,70
ElFuente2_30fps.yuv,ElFuente2_80_1080_10000.yuv,vmaf,75.032,False,80
ElFuente2_30fps.yuv,ElFuente2_85_1080_15000.yuv,vmaf,85.712,False,85
ElFuente2_30fps.yuv,ElFuente2_90_1080_20000.yuv,vmaf,91.808,False,90
FoxBird_25fps.yuv,FoxBird_20_288_375.yuv,ssim,0.884,False,20
FoxBird_25fps.yuv,FoxBird_40_384_750.yuv,ssim,0.9208,False,40
FoxBird_25fps.yuv,FoxBird_55_480_750.yuv,ssim,0.9278,False,55
FoxBird_25fps.yuv,FoxBird_65_480_1750.yuv,ssim,0.9555,False,65
FoxBird_25fps.yuv,FoxBird_80_1080_2300.yuv,ssim,0.9703,False,80
FoxBird_25fps.yuv,FoxBird_95_1080_5800.yuv,ssim,0.9898,False,95
FoxBird_25fps.yuv,FoxBird_20_288_375.yuv,psnr,31.256,False,20
FoxBird_25fps.yuv,FoxBird_40_384_750.yuv,psnr,33.517,False,40
FoxBird_25fps.yuv,FoxBird_55_480_750.yuv,psnr,34.56,False,55
FoxBird_25fps.yuv,FoxBird_65_480_1750.yuv,psnr,36.461,False,65
FoxBird_25fps.yuv,FoxBird_80_1080_2300.yuv,psnr,39.97,False,80
FoxBird_25fps.yuv,FoxBird_95_1080_5800.yuv,psnr,45.578,False,95
FoxBird_25fps.yuv,FoxBird_20_288_375.yuv,vmaf,25.963,False,20
FoxBird_25fps.yuv,FoxBird_40_384_750.yuv,vmaf,50.136,False,40
FoxBird_25fps.yuv,FoxBird_55_480_750.yuv,vmaf,60.137,False,55
FoxBird_25fps.yuv,FoxBird_65_480_1750.yuv,vmaf,73.487,False,65
