,Unnamed: 0,index,Reference,Distorted,Metric,Metric_val,Mask,Subjective
63,63,424,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,niqe,9.3487,False,6.177970683278712
64,64,449,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,niqe,11.265,True,5.417861161606206
65,65,425,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,niqe,9.5398,False,5.417861161606206
66,66,119,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,niqe,10.136,True,5.206694116333419
67,67,95,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,niqe,8.4606,False,5.206694116333419
68,68,120,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,niqe,10.223,True,4.583674168014015
69,69,96,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,niqe,8.5664,False,4.583674168014015
70,70,121,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,niqe,10.351,True,3.0368390144204147
71,71,97,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,niqe,8.6443,False,3.0368390144204147
72,72,166,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_33.mp4,niqe,6.7882,True,3.42309942969763
73,73,143,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_33.mp4,niqe,5.6726,False,3.42309942969763
74,74,167,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_36.mp4,niqe,6.9287,True,3.091838809536726
75,75,144,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_36.mp4,niqe,5.6289,False,3.091838809536726
76,76,145,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_39.mp4,niqe,5.5808,False,2.889996891814178
77,77,168,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_39.mp4,niqe,7.11,True,2.889996891814178
78,78,189,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_40.mp4,niqe,6.5894,False,6.306374806579198
79,79,212,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_40.mp4,niqe,7.9847,True,6.306374806579198
80,80,190,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_45.mp4,niqe,6.9076,False,5.69721475860444
