,Reference,Distorted,Metric,Metric_val,Mask,Subjective
61,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,vmaf,90.795,False,5.541520546818917
62,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,vmaf,79.09,False,4.528711020730032
63,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,vmaf,62.431,False,3.1366945348370097
64,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,vmaf,83.137,False,4.625323443676742
65,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,vmaf,63.949,False,3.185055091647364
66,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,vmaf,30.343,False,0.0
67,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,vmaf,88.674,False,5.429375574189711
68,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,vmaf,72.933,False,4.502431206238002
69,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,vmaf,94.678,True,5.673068297172945
70,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,vmaf,87.028,True,5.66340286203501
71,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,vmaf,75.343,True,5.243526334400184
72,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,vmaf,97.742,True,6.346977572482853
73,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,vmaf,91.895,True,6.177970683278712
74,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,vmaf,80.075,True,5.417861161606206
78,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,vmaf,94.84,True,5.5305848584583055
79,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,vmaf,87.42,True,5.4081835197032735
80,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,vmaf,71.366,True,4.723917251086838
81,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,vmaf,91.494,True,5.579203281635387
82,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,vmaf,78.116,True,5.108962307167965
83,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,vmaf,62.161,True,3.893108075587005
84,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,vmaf,90.733,True,5.541520546818917
85,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,vmaf,78.988,True,4.528711020730032
86,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,vmaf,62.245,True,3.1366945348370097
87,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,vmaf,83.059,True,4.625323443676742
88,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,vmaf,63.826,True,3.185055091647364
89,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,vmaf,30.068,True,0.0
90,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,vmaf,88.619,True,5.429375574189711
91,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,vmaf,72.857,True,4.502431206238002
92,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,psnr,37.563,False,4.256369173647472
94,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,psnr,33.129,False,2.413392476577415
95,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,psnr,33.105,False,5.206694116333419
96,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,psnr,32.444,False,4.583674168014015
97,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,psnr,31.261,False,3.0368390144204147
101,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,psnr,37.585,False,4.707687281577879
102,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,psnr,35.479,False,3.588929372315943
103,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,psnr,32.708,False,2.01268752783576
104,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_31.mp4,psnr,35.996,False,4.168053059852595
105,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_36.mp4,psnr,33.421,False,2.8878827876980804
106,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_40.mp4,psnr,31.276,False,1.6238055834388052
107,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_53.mp4,psnr,34.315,False,3.428521528794996
108,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_61.mp4,psnr,31.891,False,1.8690413135943564
109,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_63.mp4,psnr,30.588,False,1.1787658059386974
110,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_30.mp4,psnr,34.619,False,3.838110902032029
111,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_35.mp4,psnr,31.798,False,1.8926543897040995
112,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_41.mp4,psnr,28.215,False,0.0
113,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x265_mv_offline_2k_boys_35.mp4,psnr,35.676,False,3.7253738021190266
114,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x265_mv_offline_2k_boys_40.mp4,psnr,32.615,False,2.279988939007191
115,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,psnr,41.927,True,4.256369173647472
117,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,psnr,37.842,True,2.413392476577415
118,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,psnr,37.703,True,5.206694116333419
119,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,psnr,37.085,True,4.583674168014015
120,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,psnr,35.974,True,3.0368390144204147
124,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,psnr,41.95,True,4.707687281577879
125,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,psnr,40.045,True,3.588929372315943
126,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,psnr,37.434,True,2.01268752783576
127,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_31.mp4,psnr,40.512,True,4.168053059852595
128,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_36.mp4,psnr,38.112,True,2.8878827876980804
129,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_40.mp4,psnr,36.057,True,1.6238055834388052
130,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_53.mp4,psnr,38.947,True,3.428521528794996
131,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_61.mp4,psnr,36.639,True,1.8690413135943564
132,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_63.mp4,psnr,35.378,True,1.1787658059386974
133,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_30.mp4,psnr,39.245,True,3.838110902032029
134,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_35.mp4,psnr,36.572,True,1.8926543897040995
135,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_41.mp4,psnr,33.079,True,0.0
136,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x265_mv_offline_2k_boys_35.mp4,psnr,40.262,True,3.7253738021190266
137,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x265_mv_offline_2k_boys_40.mp4,psnr,37.389,True,2.279988939007191
138,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,vmaf,88.735,False,4.256369173647472
140,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,vmaf,63.51,False,2.413392476577415
141,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,vmaf,89.455,False,5.206694116333419
142,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,vmaf,81.539,False,4.583674168014015
143,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,vmaf,68.077,False,3.0368390144204147
147,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,vmaf,88.883,False,4.707687281577879
148,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,vmaf,77.24,False,3.588929372315943
149,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,vmaf,60.686,False,2.01268752783576
150,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_31.mp4,vmaf,82.317,False,4.168053059852595
151,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_36.mp4,vmaf,67.523,False,2.8878827876980804
152,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_40.mp4,vmaf,54.374,False,1.6238055834388052
153,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_53.mp4,vmaf,77.508,False,3.428521528794996
154,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_61.mp4,vmaf,62.834,False,1.8690413135943564
155,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_63.mp4,vmaf,55.06,False,1.1787658059386974
156,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_30.mp4,vmaf,80.881,False,3.838110902032029
157,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_35.mp4,vmaf,63.32,False,1.8926543897040995
158,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_41.mp4,vmaf,39.13,False,0.0
159,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x265_mv_offline_2k_boys_35.mp4,vmaf,80.949,False,3.7253738021190266
160,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x265_mv_offline_2k_boys_40.mp4,vmaf,62.242,False,2.279988939007191
161,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,vmaf,88.83,True,4.256369173647472
163,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,vmaf,63.714,True,2.413392476577415
164,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,vmaf,89.449,True,5.206694116333419
165,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,vmaf,81.589,True,4.583674168014015
166,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,vmaf,68.191,True,3.0368390144204147
170,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,vmaf,88.972,True,4.707687281577879
171,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,vmaf,77.396,True,3.588929372315943
172,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,vmaf,60.883,True,2.01268752783576
173,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_31.mp4,vmaf,82.447,True,4.168053059852595
174,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_36.mp4,vmaf,67.69,True,2.8878827876980804
175,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_40.mp4,vmaf,54.514,True,1.6238055834388052
