,Reference,Distorted,Metric,Metric_val,Mask,Subjective
86,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_x264_mv_offline_2k_happy_dog_38.mp4,ssim,0.877,False,2.5667030902273518
87,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_x264_mv_offline_2k_happy_dog_48.mp4,ssim,0.7897,False,0.0
88,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_x265_mv_offline_2k_happy_dog_36.mp4,ssim,0.9287,False,5.138432239464729
89,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_x265_mv_offline_2k_happy_dog_41.mp4,ssim,0.8832,False,3.6136078560565865
90,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_light_show_29.mp4,ssim,0.9886,False,4.62792713211608
91,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_light_show_34.mp4,ssim,0.9859,False,4.0439905130696845
92,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_light_show_40.mp4,ssim,0.9806,False,3.613118885110715
93,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_kingsoft_v2_mv_offline_2k_light_show_29.mp4,ssim,0.9827,False,5.196267720359377
94,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_kingsoft_v2_mv_offline_2k_light_show_35.mp4,ssim,0.9808,False,4.7486099064758776
95,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_kingsoft_v2_mv_offline_2k_light_show_41.mp4,ssim,0.977,False,3.729597200249695
99,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_svt_av1_mv_offline_2k_light_show_34.mp4,ssim,0.9886,False,4.368277606545231
100,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_svt_av1_mv_offline_2k_light_show_42.mp4,ssim,0.9859,False,4.06048742621194
101,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_svt_av1_mv_offline_2k_light_show_52.mp4,ssim,0.9807,False,3.5722602754630985
102,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_svt_hevc_mv_offline_2k_light_show_25.mp4,ssim,0.9857,False,4.461767916563401
103,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_svt_hevc_mv_offline_2k_light_show_30.mp4,ssim,0.9808,False,3.6384448974527994
104,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_svt_hevc_mv_offline_2k_light_show_36.mp4,ssim,0.9723,False,2.540259740678793
105,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_svt_vp9_mv_offline_2k_light_show_40.mp4,ssim,0.9839,False,4.32174023992857
106,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_svt_vp9_mv_offline_2k_light_show_49.mp4,ssim,0.9794,False,3.805051255765068
107,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_svt_vp9_mv_offline_2k_light_show_59.mp4,ssim,0.971,False,2.285218861777734
108,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_x264_mv_offline_2k_light_show_26.mp4,ssim,0.9857,False,4.053938392154088
109,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_x264_mv_offline_2k_light_show_31.mp4,ssim,0.9791,False,2.885475263638515
110,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_x264_mv_offline_2k_light_show_38.mp4,ssim,0.9608,False,0.0
111,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_x265_mv_offline_2k_light_show_29.mp4,ssim,0.985,False,4.425079543233946
112,enc_res_x265_mv_offline_2k_light_show_24.mp4,enc_res_x265_mv_offline_2k_light_show_34.mp4,ssim,0.9778,False,3.1643352181875946
113,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_mountain_dog_35.mp4,ssim,0.9225,False,2.4327602530813377
114,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_mountain_dog_39.mp4,ssim,0.9066,False,2.439483496223989
115,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_mountain_dog_42.mp4,ssim,0.8865,False,1.8296463835402008
116,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_36.mp4,ssim,0.9154,False,2.840250767668131
117,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_40.mp4,ssim,0.902,False,2.478476807190872
118,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_44.mp4,ssim,0.8798,False,2.2101160738811627
122,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_svt_av1_mv_offline_2k_mountain_dog_50.mp4,ssim,0.9233,False,2.2669291650695715
123,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_svt_av1_mv_offline_2k_mountain_dog_56.mp4,ssim,0.9082,False,1.9465434557358396
124,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_svt_av1_mv_offline_2k_mountain_dog_60.mp4,ssim,0.8905,False,1.5724487253834094
125,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_svt_hevc_mv_offline_2k_mountain_dog_31.mp4,ssim,0.9143,False,2.28471397898669
126,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_svt_hevc_mv_offline_2k_mountain_dog_35.mp4,ssim,0.8926,False,1.83378496687532
127,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_svt_hevc_mv_offline_2k_mountain_dog_38.mp4,ssim,0.8705,False,1.1440304030700343
128,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_svt_vp9_mv_offline_2k_mountain_dog_53.mp4,ssim,0.9008,False,1.9865801423481209
129,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_svt_vp9_mv_offline_2k_mountain_dog_59.mp4,ssim,0.8756,False,1.358473166098105
130,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_svt_vp9_mv_offline_2k_mountain_dog_63.mp4,ssim,0.8469,False,0.4175091968946662
131,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_x264_mv_offline_2k_mountain_dog_32.mp4,ssim,0.8978,False,1.781014104055952
132,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_x264_mv_offline_2k_mountain_dog_34.mp4,ssim,0.8682,False,1.4480469127723332
133,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_x264_mv_offline_2k_mountain_dog_37.mp4,ssim,0.8221,False,0.0
134,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_x265_mv_offline_2k_mountain_dog_34.mp4,ssim,0.9269,False,2.0215291470432177
135,enc_res_x265_mv_offline_2k_mountain_dog_32.mp4,enc_res_x265_mv_offline_2k_mountain_dog_37.mp4,ssim,0.8865,False,1.2236689734030275
136,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_pool_underwater_41.mp4,ssim,0.9038,False,4.6838389059052
137,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_pool_underwater_45.mp4,ssim,0.8672,False,3.9381495109300415
138,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_pool_underwater_50.mp4,ssim,0.836,False,2.7804859826463257
139,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_41.mp4,ssim,0.8856,False,4.909338498488629
140,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_45.mp4,ssim,0.8554,False,4.324195277834711
141,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_50.mp4,ssim,0.8275,False,2.9425481509121214
145,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_svt_av1_mv_offline_2k_pool_underwater_58.mp4,ssim,0.9025,False,4.5577894534108285
146,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_svt_av1_mv_offline_2k_pool_underwater_63.mp4,ssim,0.8572,False,3.3074719359342404
147,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_svt_hevc_mv_offline_2k_pool_underwater_36.mp4,ssim,0.8859,False,4.111809630832434
148,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_svt_hevc_mv_offline_2k_pool_underwater_40.mp4,ssim,0.8406,False,3.393100826853356
149,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_svt_hevc_mv_offline_2k_pool_underwater_43.mp4,ssim,0.8033,False,2.180024295399664
150,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_svt_vp9_mv_offline_2k_pool_underwater_60.mp4,ssim,0.8754,False,3.719495971618657
151,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_svt_vp9_mv_offline_2k_pool_underwater_63.mp4,ssim,0.8348,False,3.0387643821390693
152,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_x264_mv_offline_2k_pool_underwater_35.mp4,ssim,0.8734,False,3.668365881859909
153,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_x264_mv_offline_2k_pool_underwater_39.mp4,ssim,0.7917,False,1.8044571894740733
154,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_x264_mv_offline_2k_pool_underwater_42.mp4,ssim,0.7402,False,0.0
155,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_x265_mv_offline_2k_pool_underwater_39.mp4,ssim,0.8905,False,3.836297858188325
156,enc_res_x265_mv_offline_2k_pool_underwater_36.mp4,enc_res_x265_mv_offline_2k_pool_underwater_42.mp4,ssim,0.8369,False,2.7026546981471595
157,enc_res_x265_mv_offline_2k_pumba_29.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_pumba_33.mp4,ssim,0.9451,False,3.2317909055701373
158,enc_res_x265_mv_offline_2k_pumba_29.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_pumba_37.mp4,ssim,0.927,False,3.0168098377746557
159,enc_res_x265_mv_offline_2k_pumba_29.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_pumba_41.mp4,ssim,0.8991,False,2.278083060265808
160,enc_res_x265_mv_offline_2k_pumba_29.mp4,enc_res_kingsoft_v2_mv_offline_2k_pumba_31.mp4,ssim,0.8484,False,3.828345257421128
161,enc_res_x265_mv_offline_2k_pumba_29.mp4,enc_res_kingsoft_v2_mv_offline_2k_pumba_36.mp4,ssim,0.841,False,3.755994467762024
