,Reference,Distorted,Metric,Metric_val,Mask,Subjective
67,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,ssim,0.9236,False,3.1366945348370097
68,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,ssim,0.9516,False,4.625323443676742
69,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,ssim,0.9311,False,3.185055091647364
70,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,ssim,0.8805,False,0.0
71,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,ssim,0.9629,False,5.296594121085692
72,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,ssim,0.9516,False,5.429375574189711
73,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,ssim,0.9364,False,4.502431206238002
74,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,ssim,0.9643,True,5.673068297172945
75,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,ssim,0.9541,True,5.66340286203501
76,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,ssim,0.9433,True,5.243526334400184
77,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,ssim,0.9571,True,6.346977572482853
78,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,ssim,0.949,True,6.177970683278712
79,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,ssim,0.9378,True,5.417861161606206
83,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,ssim,0.965,True,5.5305848584583055
84,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,ssim,0.955,True,5.4081835197032735
85,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,ssim,0.9405,True,4.723917251086838
86,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,ssim,0.9573,True,5.579203281635387
87,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,ssim,0.9427,True,5.108962307167965
88,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,ssim,0.927,True,3.893108075587005
89,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,ssim,0.9567,True,5.541520546818917
90,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,ssim,0.9423,True,4.528711020730032
91,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,ssim,0.9228,True,3.1366945348370097
92,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,ssim,0.9515,True,4.625323443676742
93,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,ssim,0.9305,True,3.185055091647364
94,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,ssim,0.8784,True,0.0
95,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,ssim,0.9629,True,5.296594121085692
96,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,ssim,0.9515,True,5.429375574189711
97,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,ssim,0.936,True,4.502431206238002
98,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,vmaf,94.305,False,5.673068297172945
99,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,vmaf,84.046,False,5.66340286203501
100,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,vmaf,71.77,False,5.243526334400184
101,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,vmaf,97.889,False,6.346977572482853
102,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,vmaf,89.477,False,6.177970683278712
103,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,vmaf,76.886,False,5.417861161606206
